# CHECK constraints do schema public, extraídos do banco.
#
# Origem: consulta a pg_constraint no SQL Editor do Supabase (2026-08-26).
# Formato: tabela | constraint | definição (verbatim, como o Postgres devolve).
#
# Este arquivo é a FONTE. Rode `node scripts/gerar-regras-colunas.mjs` para
# transformá-lo em lib/db-regras.json, que o agente lê em descrever_tabela.
#
# Para atualizar depois de mudar o banco, rode de novo:
#   select rel.relname, con.conname, pg_get_constraintdef(con.oid)
#   from pg_constraint con join pg_class rel on rel.oid = con.conrelid
#   where con.contype = 'c' and rel.relnamespace = 'public'::regnamespace
#   order by rel.relname, con.conname;

alertas_onboarding | alertas_onboarding_origem_check | CHECK (((origem)::text = ANY ((ARRAY['sistema'::character varying, 'usuario'::character varying, 'agente'::character varying, 'automacao'::character varying, 'importacao'::character varying])::text[])))
contrato_servicos | contrato_servicos_quantidade_check | CHECK (((quantidade_inclusa IS NULL) OR (quantidade_inclusa >= (0)::numeric)))
contrato_servicos | contrato_servicos_responsabilidade_check | CHECK (((responsabilidade_execucao)::text = ANY ((ARRAY['bpo'::character varying, 'cliente'::character varying, 'compartilhada'::character varying, 'terceiro'::character varying])::text[])))
contrato_servicos | contrato_servicos_situacao_check | CHECK (((situacao_escopo)::text = ANY ((ARRAY['incluido'::character varying, 'nao_incluido'::character varying, 'adicional'::character varying, 'cortesia'::character varying])::text[])))
contrato_servicos | contrato_servicos_tipo_cobranca_check | CHECK (((tipo_cobranca)::text = ANY ((ARRAY['incluso_no_mensal'::character varying, 'mensal_adicional'::character varying, 'por_unidade'::character varying, 'por_hora'::character varying, 'por_demanda'::character varying, 'sem_cobranca'::character varying])::text[])))
contrato_servicos | contrato_servicos_valor_adicional_check | CHECK (((valor_adicional IS NULL) OR (valor_adicional >= (0)::numeric)))
contrato_servicos | contrato_servicos_valor_unitario_check | CHECK (((valor_unitario IS NULL) OR (valor_unitario >= (0)::numeric)))
contratos | contratos_datas_check | CHECK (((data_fim IS NULL) OR (data_fim >= data_inicio)))
contratos | contratos_dia_vencimento_check | CHECK (((dia_vencimento IS NULL) OR ((dia_vencimento >= 1) AND (dia_vencimento <= 31))))
contratos | contratos_forma_pagamento_check | CHECK (((forma_pagamento IS NULL) OR ((forma_pagamento)::text = ANY ((ARRAY['boleto'::character varying, 'pix'::character varying, 'transferencia'::character varying, 'debito_automatico'::character varying, 'cartao'::character varying, 'dinheiro'::character varying, 'outro'::character varying])::text[]))))
contratos | contratos_horas_inclusas_check | CHECK (((horas_inclusas IS NULL) OR (horas_inclusas >= (0)::numeric)))
contratos | contratos_moeda_check | CHECK ((moeda ~ '^[A-Z]{3}$'::text))
contratos | contratos_status_check | CHECK (((status)::text = ANY ((ARRAY['rascunho'::character varying, 'ativo'::character varying, 'suspenso'::character varying, 'encerrado'::character varying, 'cancelado'::character varying])::text[])))
contratos | contratos_valor_mensal_check | CHECK ((valor_mensal >= (0)::numeric))
empresa_pessoas | empresa_pessoas_datas_check | CHECK (((data_fim IS NULL) OR (data_inicio IS NULL) OR (data_fim >= data_inicio)))
empresa_pessoas | empresa_pessoas_limite_aprovacao_check | CHECK (((limite_aprovacao IS NULL) OR (limite_aprovacao >= (0)::numeric)))
empresa_pessoas | empresa_pessoas_nivel_hierarquico_check | CHECK (((nivel_hierarquico IS NULL) OR (nivel_hierarquico > 0)))
empresa_pessoas | empresa_pessoas_ordem_contato_check | CHECK (((ordem_contato IS NULL) OR (ordem_contato > 0)))
empresa_pessoas | empresa_pessoas_superior_diferente_check | CHECK (((superior_vinculo_id IS NULL) OR (superior_vinculo_id <> id)))
empresa_pessoas | empresa_pessoas_tipo_vinculo_check | CHECK (((tipo_vinculo)::text = ANY ((ARRAY['socio'::character varying, 'administrador'::character varying, 'diretor'::character varying, 'gestor'::character varying, 'funcionario'::character varying, 'prestador'::character varying, 'contador'::character varying, 'fornecedor'::character varying, 'cliente'::character varying, 'representante'::character varying, 'outro'::character varying])::text[])))
empresas | empresas_cnpj_formato | CHECK (((cnpj)::text ~ '^[0-9]{14}$'::text))
empresas | empresas_matriz_filial_check | CHECK (((matriz_filial)::text = ANY ((ARRAY['matriz'::character varying, 'filial'::character varying])::text[])))
empresas | empresas_status_operacao_check | CHECK (((status_operacao)::text = ANY ((ARRAY['implantacao'::character varying, 'operacao'::character varying, 'pausado'::character varying, 'encerrado'::character varying])::text[])))
enderecos_empresa | enderecos_empresa_cep_check | CHECK (((cep IS NULL) OR ((cep)::text ~ '^[0-9]{8}$'::text)))
enderecos_empresa | enderecos_empresa_tipo_check | CHECK (((tipo_endereco)::text = ANY ((ARRAY['estabelecimento'::character varying, 'fiscal'::character varying, 'operacional'::character varying, 'correspondencia'::character varying, 'filial'::character varying, 'outro'::character varying])::text[])))
enderecos_empresa | enderecos_empresa_uf_check | CHECK ((uf ~ '^[A-Z]{2}$'::text))
evidencias_tarefa_onboarding | evidencias_tarefa_origem_check | CHECK (((origem)::text = ANY ((ARRAY['usuario'::character varying, 'agente'::character varying, 'cliente'::character varying, 'funcionario'::character varying, 'automacao'::character varying, 'importacao'::character varying])::text[])))
evidencias_tarefa_onboarding | evidencias_tarefa_tamanho_check | CHECK (((tamanho_bytes IS NULL) OR (tamanho_bytes >= 0)))
evidencias_tarefa_onboarding | evidencias_tarefa_tipo_check | CHECK (((tipo_evidencia)::text = ANY ((ARRAY['arquivo'::character varying, 'link'::character varying, 'texto'::character varying, 'confirmacao'::character varying, 'captura_tela'::character varying, 'outro'::character varying])::text[])))
evidencias_tarefa_onboarding | evidencias_tarefa_validacao_check | CHECK (((validada = false) OR (validada_em IS NOT NULL)))
fases_onboarding | fases_onboarding_duracao_check | CHECK (((duracao_prevista_dias IS NULL) OR (duracao_prevista_dias >= 0)))
fases_onboarding | fases_onboarding_ordem_check | CHECK ((ordem > 0))
grupo_participantes | grupo_participantes_datas_check | CHECK (((data_saida IS NULL) OR (data_entrada IS NULL) OR (data_saida >= data_entrada)))
grupo_participantes | grupo_participantes_ordem_check | CHECK (((ordem_acionamento IS NULL) OR (ordem_acionamento > 0)))
grupos_comunicacao | grupos_comunicacao_plataforma_check | CHECK (((plataforma)::text = ANY ((ARRAY['whatsapp'::character varying, 'telegram'::character varying, 'slack'::character varying, 'teams'::character varying, 'outro'::character varying])::text[])))
historico_onboarding | historico_onboarding_ator_check | CHECK ((num_nonnulls(ator_usuario_id, ator_empresa_pessoa_id) <= 1))
historico_onboarding | historico_onboarding_origem_check | CHECK (((origem_evento)::text = ANY ((ARRAY['sistema'::character varying, 'usuario'::character varying, 'agente'::character varying, 'cliente'::character varying, 'funcionario'::character varying, 'automacao'::character varying, 'importacao'::character varying])::text[])))
historico_onboarding | historico_onboarding_tipo_evento_check | CHECK (((tipo_evento)::text = ANY ((ARRAY['onboarding_criado'::character varying, 'onboarding_iniciado'::character varying, 'status_onboarding_alterado'::character varying, 'fase_alterada'::character varying, 'tarefa_criada'::character varying, 'status_tarefa_alterado'::character varying, 'evidencia_adicionada'::character varying, 'responsavel_alterado'::character varying, 'prazo_alterado'::character varying, 'comentario'::character varying, 'alerta'::character varying, 'outro'::character varying])::text[])))
modelo_recursos_equipe | modelo_recursos_equipe_custo_check | CHECK (((custo_mensal_unitario >= (0)::numeric) AND (encargos_beneficios_unitario >= (0)::numeric) AND (outros_custos_unitario >= (0)::numeric)))
modelo_recursos_equipe | modelo_recursos_equipe_horas_check | CHECK ((horas_produtivas_mes_por_pessoa > (0)::numeric))
modelo_recursos_equipe | modelo_recursos_equipe_quantidade_check | CHECK ((quantidade_pessoas > 0))
modelo_recursos_equipe | modelo_recursos_equipe_tipo_check | CHECK (((tipo_recurso)::text = ANY ((ARRAY['socio'::character varying, 'gestor'::character varying, 'analista'::character varying, 'assistente'::character varying, 'estagiario'::character varying, 'terceirizado'::character varying, 'outro'::character varying])::text[])))
modelos_onboarding | modelos_onboarding_duracao_check | CHECK (((duracao_prevista_dias IS NULL) OR (duracao_prevista_dias > 0)))
modelos_onboarding | modelos_onboarding_status_check | CHECK (((status)::text = ANY ((ARRAY['rascunho'::character varying, 'ativo'::character varying, 'substituido'::character varying, 'arquivado'::character varying])::text[])))
modelos_onboarding | modelos_onboarding_tipo_check | CHECK (((tipo_onboarding)::text = ANY ((ARRAY['cliente'::character varying, 'funcionario'::character varying, 'outro'::character varying])::text[])))
modelos_onboarding | modelos_onboarding_vigencia_check | CHECK (((vigencia_fim IS NULL) OR (vigencia_inicio IS NULL) OR (vigencia_fim >= vigencia_inicio)))
modelos_precificacao | modelos_precificacao_desconto_check | CHECK (((desconto_maximo_percentual >= (0)::numeric) AND (desconto_maximo_percentual <= (100)::numeric)))
modelos_precificacao | modelos_precificacao_horas_check | CHECK (((horas_produtivas_mes_padrao IS NULL) OR (horas_produtivas_mes_padrao > (0)::numeric)))
modelos_precificacao | modelos_precificacao_impostos_check | CHECK (((aliquota_impostos_percentual >= (0)::numeric) AND (aliquota_impostos_percentual < (100)::numeric)))
modelos_precificacao | modelos_precificacao_margem_check | CHECK (((margem_lucro_percentual >= (0)::numeric) AND (margem_lucro_percentual < (100)::numeric)))
modelos_precificacao | modelos_precificacao_margem_imposto_check | CHECK (((margem_lucro_percentual + aliquota_impostos_percentual) < (100)::numeric))
modelos_precificacao | modelos_precificacao_status_check | CHECK (((status)::text = ANY ((ARRAY['rascunho'::character varying, 'ativo'::character varying, 'substituido'::character varying, 'arquivado'::character varying])::text[])))
modelos_precificacao | modelos_precificacao_valor_minimo_check | CHECK ((valor_minimo_mensal_padrao >= (0)::numeric))
modelos_precificacao | modelos_precificacao_vigencia_check | CHECK (((vigencia_fim IS NULL) OR (vigencia_inicio IS NULL) OR (vigencia_fim >= vigencia_inicio)))
onboardings | onboardings_cancelamento_check | CHECK ((((status)::text <> 'cancelado'::text) OR (NULLIF(TRIM(BOTH FROM motivo_cancelamento), ''::text) IS NOT NULL)))
onboardings | onboardings_conclusao_check | CHECK (((data_conclusao IS NULL) OR (data_inicio IS NULL) OR (data_conclusao >= data_inicio)))
onboardings | onboardings_datas_check | CHECK (((data_prevista_conclusao IS NULL) OR (data_inicio IS NULL) OR (data_prevista_conclusao >= data_inicio)))
onboardings | onboardings_destino_check | CHECK (((((tipo_onboarding)::text = 'cliente'::text) AND (empresa_id IS NOT NULL) AND (pessoa_id IS NULL)) OR (((tipo_onboarding)::text = 'funcionario'::text) AND (pessoa_id IS NOT NULL) AND (empresa_id IS NULL)) OR ((tipo_onboarding)::text = 'outro'::text)))
onboardings | onboardings_pausa_check | CHECK ((((status)::text <> 'pausado'::text) OR (NULLIF(TRIM(BOTH FROM motivo_pausa), ''::text) IS NOT NULL)))
onboardings | onboardings_prioridade_check | CHECK (((prioridade)::text = ANY ((ARRAY['baixa'::character varying, 'normal'::character varying, 'alta'::character varying, 'urgente'::character varying])::text[])))
onboardings | onboardings_progresso_check | CHECK (((progresso_percentual >= (0)::numeric) AND (progresso_percentual <= (100)::numeric)))
onboardings | onboardings_status_check | CHECK (((status)::text = ANY ((ARRAY['nao_iniciado'::character varying, 'em_andamento'::character varying, 'pausado'::character varying, 'concluido'::character varying, 'cancelado'::character varying])::text[])))
onboardings | onboardings_tipo_check | CHECK (((tipo_onboarding)::text = ANY ((ARRAY['cliente'::character varying, 'funcionario'::character varying, 'outro'::character varying])::text[])))
pessoas | pessoas_cpf_formato_check | CHECK (((cpf IS NULL) OR ((cpf)::text ~ '^[0-9]{11}$'::text)))
pessoas | pessoas_email_formato_check | CHECK (((email_principal IS NULL) OR (email_principal ~* '^[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,}$'::text)))
plano_servicos | plano_servicos_frequencia_check | CHECK (((frequencia_padrao IS NULL) OR ((frequencia_padrao)::text = ANY ((ARRAY['diaria'::character varying, 'semanal'::character varying, 'quinzenal'::character varying, 'mensal'::character varying, 'bimestral'::character varying, 'trimestral'::character varying, 'semestral'::character varying, 'anual'::character varying, 'continua'::character varying, 'sob_demanda'::character varying, 'pontual'::character varying])::text[]))))
plano_servicos | plano_servicos_quantidade_check | CHECK (((quantidade_inclusa IS NULL) OR (quantidade_inclusa >= (0)::numeric)))
planos_referencia | planos_referencia_nivel_check | CHECK ((nivel > 0))
precificacao_componentes | precificacao_componentes_natureza_check | CHECK (((natureza)::text = ANY ((ARRAY['custo'::character varying, 'acrescimo'::character varying, 'desconto'::character varying])::text[])))
precificacao_componentes | precificacao_componentes_origem_check | CHECK (((origem_item)::text = ANY ((ARRAY['manual'::character varying, 'modelo'::character varying, 'importado'::character varying])::text[])))
precificacao_componentes | precificacao_componentes_periodicidade_check | CHECK (((periodicidade)::text = ANY ((ARRAY['mensal'::character varying, 'trimestral'::character varying, 'semestral'::character varying, 'anual'::character varying, 'pontual'::character varying, 'sob_demanda'::character varying])::text[])))
precificacao_componentes | precificacao_componentes_quantidade_check | CHECK ((quantidade >= (0)::numeric))
precificacao_componentes | precificacao_componentes_rateio_check | CHECK ((meses_rateio > 0))
precificacao_componentes | precificacao_componentes_tipo_check | CHECK (((tipo_componente)::text = ANY ((ARRAY['sistema'::character varying, 'licenca'::character varying, 'plataforma'::character varying, 'custo_administrativo'::character varying, 'terceiro'::character varying, 'taxa'::character varying, 'acrescimo'::character varying, 'desconto'::character varying, 'outro'::character varying])::text[])))
precificacao_componentes | precificacao_componentes_valor_check | CHECK ((valor_unitario >= (0)::numeric))
precificacao_itens | precificacao_itens_complexidade_check | CHECK ((multiplicador_complexidade > (0)::numeric))
precificacao_itens | precificacao_itens_custo_minuto_check | CHECK (((custo_minuto IS NULL) OR (custo_minuto >= (0)::numeric)))
precificacao_itens | precificacao_itens_metodo_check | CHECK (((metodo_calculo)::text = ANY ((ARRAY['tempo'::character varying, 'valor_fixo'::character varying, 'hibrido'::character varying])::text[])))
precificacao_itens | precificacao_itens_origem_check | CHECK (((origem_item)::text = ANY ((ARRAY['regra'::character varying, 'manual'::character varying, 'importado'::character varying])::text[])))
precificacao_itens | precificacao_itens_quantidade_check | CHECK ((quantidade >= (0)::numeric))
precificacao_itens | precificacao_itens_tempo_check | CHECK (((tempo_unitario_minutos IS NULL) OR (tempo_unitario_minutos >= (0)::numeric)))
precificacao_itens | precificacao_itens_valor_fixo_check | CHECK ((valor_fixo >= (0)::numeric))
precificacoes | precificacoes_complexidade_check | CHECK ((multiplicador_complexidade > (0)::numeric))
precificacoes | precificacoes_estrategia_ajuste_check | CHECK (((estrategia_ajuste IS NULL) OR ((estrategia_ajuste)::text = ANY ((ARRAY['reduzir_margem'::character varying, 'aumentar_margem'::character varying, 'reduzir_escopo'::character varying, 'aumentar_escopo'::character varying, 'separar_adicionais'::character varying, 'desconto_comercial'::character varying, 'excecao_estrategica'::character varying, 'sem_ajuste'::character varying])::text[]))))
precificacoes | precificacoes_excecao_piso_check | CHECK (((abaixo_do_piso = false) OR (justificativa_excecao IS NOT NULL)))
precificacoes | precificacoes_faixa_preco_check | CHECK (((faixa_preco_minima IS NULL) OR (faixa_preco_maxima IS NULL) OR (faixa_preco_maxima >= faixa_preco_minima)))
precificacoes | precificacoes_margem_imposto_check | CHECK (((margem_lucro_percentual + aliquota_impostos_percentual) < (100)::numeric))
